,brand_ch,brand_en,cleaned_brand,sim_ch,repeat
790,神奇爺爺,grandpa’s soap,grandpa’s soap神奇爺爺,[],0
791,潔芬,jie fen,jie fen潔芬,"[('潔芬', 100)]",0
792,貝醫生,dr.bei,dr.bei貝醫生,[],0
793,澳克騎士,ivory coat,ivory coat澳克騎士,[],0
794,森下仁丹,ravis,ravis森下仁丹,[],0
795,黎得芳,la defonse,la defonse黎得芳,[],0
796,艾諾碧,iope,iope艾諾碧,[],0
797,品工,pingo,pingo品工,[],0
798,林克博士,dr.link,dr.link林克博士,[],0
799,拉美拉,la mei la,la mei la拉美拉,[],1
800,藤蔓擴香氛,fancy,fancy藤蔓擴香氛,[],0
801,魔力喵,mjamjam,mjamjam魔力喵,[],0
802,魏大夫,vf,vf魏大夫,[],0
803,大象,daesang,daesang大象,[],0
804,毛孩快跑,running pets,running pets毛孩快跑,[],0
805,澳洲,nd,nd澳洲,[],0
806,愛的獎勵,love,love愛的獎勵,[],0
807,美泰克,maytag,maytag美泰克,[],0
808,你好,hello,hello你好,[],0
809,鴻宇,hongyew,hongyew鴻宇,[],0
810, 優雅美體,uy28,uy28 優雅美體,[],0
811,維他奶,vitasoy,vitasoy維他奶,[],0
812,狄寶,deerdogs,deerdogs狄寶,[],0
813,贏,in-plus,in-plus贏,[],0
814,伊法,evolve,evolve伊法,[],0
815,無限肌緻,infinity,infinity無限肌緻,[],0
816,固特異,goodyear,goodyear固特異,[],0
817,愛伽絲,ajuste,ajuste愛伽絲,[],0
818,芮芙茹,reveur,reveur芮芙茹,[],0
819,賽先生科學,mr.sci,mr.sci賽先生科學,[],0
820,生態綠,okogreen,okogreen生態綠,"[('生態綠', 100)]",0
821,歐萊德,o'right,o'right歐萊德,"[('歐萊德', 100)]",1
822,艾霏,efficat,efficat艾霏,[],0
823,愛若雅,alloya,alloya愛若雅,[],0
824,菲特研,first lab,first lab菲特研,[],0
825,香草魔法,wish bone,wish bone香草魔法,[],0
826,艾肯,aiken,aiken艾肯,"[('艾肯', 100)]",0
827,時間寵愛,chrono affection,chrono affection時間寵愛,[],0
828,百年特莉,tilley,tilley百年特莉,[],0
829,艾思柏,expert,expert艾思柏,[],0
830,澳思萊,aus life,aus life澳思萊,[],0
831,海洋之星,fish4cats,fish4cats海洋之星,[],0
832,班樂尼,ballarini,ballarini班樂尼,[],0
833,歐卡尼,ocanis,ocanis歐卡尼,[],0
834,宜珂,ecover,ecover宜珂,[],0
835,利民,thermalright,thermalright利民,[],0
836,光妍,cosplus,cosplus光妍,[],0
837,德瑪,dermal,dermal德瑪,[],0
838,仙格麗塔,segreta,segreta仙格麗塔,[],0
839,璞莉可,boutique,boutique璞莉可,"[('璞莉可', 100)]",0
840,蜜葳特,melvita,melvita蜜葳特,[],0
841,纖嚼,happi,happi纖嚼,[],0
842,羅素,russell hobbs,russell hobbs羅素,[],0
843,愛斯德瑪,loveisderma,loveisderma愛斯德瑪,[],0
844,蕾娜塔,renata,renata蕾娜塔,[],0
845,錸德,ridata,ridata錸德,[],0
846,威傑士,wajass,wajass威傑士,[],0
847,妙奇,moggy,moggy妙奇,[],0
848,艾詩緹,astalift,astalift艾詩緹,[],0
849,達特周,dr.jou,dr.jou達特周,[],0
850,東邦,utamaro,utamaro東邦,"[('東邦', 100)]",0
851,氧潤,arin,arin氧潤,[],0
852,貝玲妃,benefit,benefit貝玲妃,[],0
853,圖米其,tu meke friend,tu meke friend圖米其,[],0
854,立明,lemin,lemin立明,[],0
855,微軟,microsoft,microsoft微軟,[],0
856,喵愛餡,temptations,temptations喵愛餡,[],0
857,‘,dr‘s formula,dr‘s formula‘,[],0
858,安娜美廚,annamaet,annamaet安娜美廚,[],0
859,台灣山下,yamashita,yamashita台灣山下,[],0
860,美國,oster,oster美國,[],0
861,山司伯特,san sports,san sports山司伯特,[],0
862,山崎,yamasaki,yamasaki山崎,"[('山崎', 100)]",0
863,四季,seasons,seasons四季,"[('四季', 100)]",0
864,歐緹麗,caudalie,caudalie歐緹麗,[],0
865,小澤,kozawa,kozawa小澤,"[('小澤', 100)]",0
866,北鼎,buydeem,buydeem北鼎,[],0
867,維詩彩妝,acts,acts維詩彩妝,[],0
868,伊瑪,imarflex,imarflex伊瑪,[],0
869,酷碼,coolermaster,coolermaster酷碼,[],0
870,英倫薇朵,h&w,h&w英倫薇朵,[],0
871,鑽美姬,s+diamond,s+diamond鑽美姬,[],0
872,黑鷹,blackhawk,blackhawk黑鷹,[],0
873,首華,sowa,sowa首華,[],0
874,美生貝樂,maison belle,maison belle美生貝樂,[],0
875,寶工,pro'skit,pro'skit寶工,[],0
876,星巴克,starbucks,starbucks星巴克,"[('星巴克', 100)]",0
877,日象,zushiang,zushiang日象,"[('日象', 100)]",0
878,德國百妮,bioneo,bioneo德國百妮,"[('德國百妮', 100)]",0
879,台灣通用,g.must,g.must台灣通用,[],0
880,德國貓王,venandi animal,venandi animal德國貓王,[],0
881,角落生物,sumikko gurashi,sumikko gurashi角落生物,[],0
882,葛林菲,green fish,green fish葛林菲,[],0
883,寶拉美甲,paula's nail,paula's nail寶拉美甲,[],0
884,德國卡爾,carl schmidt sohn,carl schmidt sohn德國卡爾,[],0
885,寵物甜心,pet sweet,pet sweet寵物甜心,[],0
886,快譯通,abee,abee快譯通,[],0
887,愛酪麗,avoderm,avoderm愛酪麗,[],0
888,肯夢,aveda,aveda肯夢,[],0
889,得科羅勒,de cecco,de cecco得科羅勒,[],0
890,亞曼尼,armani,armani亞曼尼,[],1
891,寵愛物語,pet story,pet story寵愛物語,"[('寵愛物語', 100)]",0
892,德國珊諾,sanosan,sanosan德國珊諾,[],0
893,驕傲貓,cat glory,cat glory驕傲貓,[],0
894,萊法耶,rene furterer,rene furterer萊法耶,[],0
895,德晉,der jinn,der jinn德晉,[],0
896,帕米爾,parmir,parmir帕米爾,[],0
897,樂固特,lacalut,lacalut樂固特,[],0
898,安晴,anqueen,anqueen安晴,[],0
899,美美妍,ps,ps美美妍,[],0
900,信元發育寶,singen,singen信元發育寶,[],0
901,魔法村,pet village,pet village魔法村,[],0
902,伊的,hito,hito伊的,[],0
903,賽斯黛瑪,sesderma,sesderma賽斯黛瑪,[],0
904,家族石鹼,miyoshi,miyoshi家族石鹼,[],0
905,璞草園,grange,grange璞草園,"[('璞草園', 100)]",0
906,自然小貓,natural kitty,natural kitty自然小貓,[],0
907,衛采,eisai,eisai衛采,[],0
908,賽嘉,seago,seago賽嘉,[],0
909,歐麗絲,oul'isi,oul'isi歐麗絲,[],0
910,無窮花,mkh,mkh無窮花,[],0
911,雅娜蒂,amity,amity雅娜蒂,[],0
912,莉婕,liese,liese莉婕,[],0
913, 盛燦男士,wellness+,wellness+ 盛燦男士,[],0
914,韓秀姬,misshan,misshan韓秀姬,[],0
915,普瑞迪娜,primo ordine,primo ordine普瑞迪娜,[],0
916,樂絲,loshi,loshi樂絲,[],0
917,夏緹,ciate,ciate夏緹,[],0
918,捷視,nugens,nugens捷視,[],0
919,植物者,agricola,agricola植物者,[],0
920,德逸,dr.oko,dr.oko德逸,[],0
921,海味,hiway,hiway海味,[],0
922,派翠,pezri,pezri派翠,[],0
923,肯葳,keune,keune肯葳,[],0
924,益暢優,yourla,yourla益暢優,[],0
925,科克蘭,kirkland,kirkland科克蘭,[],1
926,嘉儀,heller,heller嘉儀,[],0
927,黑設,black gears,black gears黑設,[],0
928,犀牛,rhino,rhino犀牛,[],0
929,烏麗絲,mavros,mavros烏麗絲,[],0
930,斯儂恩,throne,throne斯儂恩,[],0
931,蕊琦芙,retreev,retreev蕊琦芙,[],0
932,波菲特,purrfact,purrfact波菲特,[],0
933,必美優,pmu,pmu必美優,[],0
934,肯辛通,kensington,kensington肯辛通,[],0
935,葵柏兒,quaplar,quaplar葵柏兒,[],0
936,丰靡美姬,esprique precious,esprique precious丰靡美姬,[],0
937,悠貝莉,youberry,youberry悠貝莉,[],0
938,舒巴,soopa,soopa舒巴,[],0
939,日光,nikko,nikko日光,[],0
940,咖啡王,ko,ko咖啡王,[],0
941,寶迪,berndes,berndes寶迪,[],0
942,雷迪兒,radius,radius雷迪兒,[],0
943,樂米,larmi,larmi樂米,[],0
944,露遊,treewalker,treewalker露遊,[],0
945,穀盛,kokumori,kokumori穀盛,[],0
946,旅行者,traveler,traveler旅行者,[],0
947,鐮刀,scythe,scythe鐮刀,[],0
948,好吉康,wellcome,wellcome好吉康,[],0
949,巴黎歐樹,nuxe,nuxe巴黎歐樹,[],0
950,數位新貴,digiking,digiking數位新貴,[],0
951,蘿莉絲塔,rorista,rorista蘿莉絲塔,[],0
952,護妍天使,dermaangel,dermaangel護妍天使,[],0
953,品夏,pershow,pershow品夏,[],0
954,柳屋,yanagiya,yanagiya柳屋,[],0
955,朵璽,dr.douxi,dr.douxi朵璽,[],0
956,奧圖,aatu,aatu奧圖,[],0
957,默契,mumchit,mumchit默契,[],0
958,蘭吉兒,legere,legere蘭吉兒,[],1
959,諾帝亞,zodiac,zodiac諾帝亞,[],0
960,斑尼菲,benefit,benefit斑尼菲,[],0
961,史耐輝,smith+nephew,smith+nephew史耐輝,[],0
962,巴黎香氛,paris fashion,paris fashion巴黎香氛,[],1
963,詩波蜜柔,super mild,super mild詩波蜜柔,[],0
964,吉維氏,kiwi safe,kiwi safe吉維氏,[],0
965,心僕鮮食],simple sense],simple sense]心僕鮮食],[],0
966,絲凱露,angfa scalp-d beaute angfad,angfa scalp-d beaute angfad絲凱露,[],1
967,自然之綠,naturaverde,naturaverde自然之綠,"[('自然之綠', 100)]",0
968,斯博康,supercoat,supercoat斯博康,[],0
969,光之瀅,touch in sol,touch in sol光之瀅,[],0
970,蕾蒂金,ladykin,ladykin蕾蒂金,[],0
971,苾菲絲,biofuture,biofuture苾菲絲,[],0
972,羅蜜歐,romel l,romel l羅蜜歐,[],1
973,蕾珂詩,la casta,la casta蕾珂詩,[],0
974,鐵修羅,tesoro,tesoro鐵修羅,[],0
975,美寧,mistral,mistral美寧,"[('美寧', 100)]",0
976,歐思佛,dr.,dr.歐思佛,[],0
977,全家安,famiclean,famiclean全家安,[],0
978,鋼鐵人,infothink,infothink鋼鐵人,[],0
979,歐肌膚,o’keeffe’s,o’keeffe’s歐肌膚,[],1
980,香鼻子,les nez,les nez香鼻子,[],0
981,瑞士之鑰,skincode,skincode瑞士之鑰,[],0
982,純戀,pure,pure純戀,[],0
983,嚼嚼,juejue,juejue嚼嚼,[],0
984,怡森氏,inessence,inessence怡森氏,[],0
985,比利瑪格,billy+margot,billy+margot比利瑪格,[],0
986,凱蒂娃娃,cathy doll,cathy doll凱蒂娃娃,[],0
987,創禾,soka,soka創禾,[],0
988,波力,poli,poli波力,"[('波力', 100)]",0
989,植萃家,leho,leho植萃家,[],0
990,朵萊爾,duplair,duplair朵萊爾,[],0
991,維多利亞的秘密,victoria's secret,victoria's secret維多利亞的秘密,"[('維多利亞的秘密', 100)]",0
992,樂健飛,love can fly,love can fly樂健飛,[],0
993,捷元,genuine,genuine捷元,[],0
994,摩多比,mdobi,mdobi摩多比,[],0
995,席瑞思,ceres,ceres席瑞思,[],0
996,康茵,carein,carein康茵,[],0
997,美加獅,mad catz,mad catz美加獅,[],0
998,肌膚哲理,philosophy,philosophy肌膚哲理,[],0
999,咬咬猴,matchstick monkey,matchstick monkey咬咬猴,[],0
1000,風麋露,cec,cec風麋露,[],0
1001,肯尼士,kennex,kennex肯尼士,"[('肯尼士', 100)]",0
1002,皇家玫瑰,royce,royce皇家玫瑰,[],0
1003,瑞威,real power,real power瑞威,[],1
1004,瑪莎曼,j-lek,j-lek瑪莎曼,[],0
1005,百岳  , 100mountain, 100mountain百岳  ,[],0
1006,植萃,herb,herb植萃,[],0
1007,飛狼,jack wolfskin,jack wolfskin飛狼,[],0
1008,海陸饗宴,taste of the wild,taste of the wild海陸饗宴,[],0
1009,特碧潤,topicrem,topicrem特碧潤,[],0
1010,奇哥,chic a bon,chic a bon奇哥,"[('奇哥', 100)]",0
1011,金美滿,kitchenwell,kitchenwell金美滿,[],0
1012,玉之肌,miyoshi,miyoshi玉之肌,[],0
1013,愛普士,applaws,applaws愛普士,[],0
1014,富力鮮,frisian,frisian富力鮮,[],0
1015,沐予,conoha,conoha沐予,[],0
1016,水美媒,oguma,oguma水美媒,[],0
1017,維克,virbac,virbac維克,[],0
1018,飛樂,philo,philo飛樂,[],0
1019,奈良彌亞,nairia,nairia奈良彌亞,[],0
1020,佳達隆,gateron,gateron佳達隆,[],0
1021,鮮呼吸,fresh breath,fresh breath鮮呼吸,[],0
1022,戀愛女神,venus amour,venus amour戀愛女神,[],0
1023,比可思,pixy,pixy比可思,[],0
1024,雙揚,i-gotu,i-gotu雙揚,[],0
1025,艾洛,aroh,aroh艾洛,[],0
1026,萃康髮,tricovel,tricovel萃康髮,[],0
1027,纖體寶貝,slimbaby,slimbaby纖體寶貝,[],0
1028,宇堂,glitter,glitter宇堂,[],0
1029,絲凱露,angfa,angfa絲凱露,[],1
1030,怡思丁,isdin,isdin怡思丁,[],0
1031,‎,‎d-up,‎d-up‎,[],0
1032,阿曼達,animonda,animonda阿曼達,[],0
1033,恩樹,nsou,nsou恩樹,[],0
1034,保加利亞玫瑰,bulgarian rose,bulgarian rose保加利亞玫瑰,[],0
1035,植靠淨,spotless,spotless植靠淨,[],0
1036,共饗食堂,sharing bistro,sharing bistro共饗食堂,[],0
1037,伊思,it's skin,it's skin伊思,[],0
1038,野宴,livin wild,livin wild野宴,[],1
1039,鴻果,hongo,hongo鴻果,[],0
1040,唯有機,oui organic,oui organic唯有機,[],0
1041,芝研,azzeen,azzeen芝研,[],0
1042,伊聖詩,cosmescents,cosmescents伊聖詩,"[('伊聖詩', 100)]",1
1043,德國,augustinus baderab,augustinus baderab德國,[],0
1044,露米,lumikenka,lumikenka露米,[],0
1045,樂靈,lalil,lalil樂靈,[],0
1046,朗德林,laundrin,laundrin朗德林,[],0
1047,魔蠍,marvo,marvo魔蠍,[],0
1048,聯碩,lenso,lenso聯碩,"[('聯碩', 100)]",0
1049,瑪珂蕾貝,macchia label,macchia label瑪珂蕾貝,[],0
1050,淨極勁,gigijing,gigijing淨極勁,[],0
1051,野宴,livin’ wild,livin’ wild野宴,[],1
1052,美美地墊,maymay,maymay美美地墊,[],0
1053,文鎧,wintek,wintek文鎧,[],0
1054,義士大廚,almo,almo義士大廚,[],0
1055,強生,chanson,chanson強生,[],0
1056,維維絲,viviscal,viviscal維維絲,[],0
1057,阿卡菲,agafia,agafia阿卡菲,[],0
1058,芙絲,voss,voss芙絲,"[('芙絲', 100)]",0
1059,美菱,maylink,maylink美菱,[],0
1060,陳怡安手工皂,annchen,annchen陳怡安手工皂,[],0
1061,科隆,kolln,kolln科隆,[],0
1062,生活+,fl,fl生活+,"[('生活', 100)]",0
1063,凱綺萃,kgcheck,kgcheck凱綺萃,[],0
1064,旺兒,blackdog,blackdog旺兒,[],0
1065,銀河莊園,la voie lactee,la voie lactee銀河莊園,[],0
1066,詩蘭朵,serlando,serlando詩蘭朵,[],0
1067,芯絲翠,neostrata,neostrata芯絲翠,[],0
1068,小紅帽咖啡,julius meinl,julius meinl小紅帽咖啡,[],0
1069,凡諦斯,vintage,vintage凡諦斯,[],0
1070,雅各布,jacobs,jacobs雅各布,[],0
1071,幸福貓,snappy tom,snappy tom幸福貓,[],0
1072,奧護佳,allgood,allgood奧護佳,[],0
1073,成功,success,success成功,[],0
1074,猛特斯,minties,minties猛特斯,[],0
1075,德記洋行,tait tea,tait tea德記洋行,[],0
1076,赫蓮娜,hr,hr赫蓮娜,[],1
1077,珂莉帕妃,claypathy,claypathy珂莉帕妃,[],0
1078,茉娜姿,moraz,moraz茉娜姿,"[('茉娜姿', 100)]",0
1079,伊所愛,isoi,isoi伊所愛,[],0
1080,泰浦樂,toppuror,toppuror泰浦樂,[],0
1081,摩斯漢堡,mos,mos摩斯漢堡,[],0
1082,優麗雅,uriage,uriage優麗雅,[],0
1083,慕堤,mutti,mutti慕堤,[],0
1084,愛華,aiwa,aiwa愛華,"[('愛華', 100)]",0
1085,婕可詩,jergens,jergens婕可詩,[],0
1086,蕾莉歐,l’erbolario,l’erbolario蕾莉歐,"[('蕾莉歐', 100)]",1
1087,優麗美人,ud,ud優麗美人,[],0
1088,初時肌,zephyrine,zephyrine初時肌,[],0
1089,貝臣,bubchen,bubchen貝臣,[],0
1090,德萊維,dellware,dellware德萊維,[],0
1091,植享家,bonnie house,bonnie house植享家,"[('植享家', 100)]",0
1092,全球寵物,global pets,global pets全球寵物,"[('全球寵物', 100)]",0
1093,香氛之家,aroma of home,aroma of home香氛之家,[],0
1094,輕鬆美膚,ezskin,ezskin輕鬆美膚,[],0
1095,鵝媽媽,mother goose,mother goose鵝媽媽,[],0
1096,凱茲,catz,catz凱茲,[],0
1097,喜躍,party mix,party mix喜躍,[],0
1098,歐格妮亞,organia,organia歐格妮亞,[],0
1099,詩夢絲,smooth,smooth詩夢絲,[],0
1100,柯諾普卡,dr.konopkas,dr.konopkas柯諾普卡,[],0
1101,迪士尼,disney,disney迪士尼,[],0
1102,漢美馳,hamilton beach,hamilton beach漢美馳,[],0
1103,珈樂堤,giaretti,giaretti珈樂堤,[],0
1104,卡滋,kazi,kazi卡滋,[],0
1105,奇異廚房,kiwi kitchens,kiwi kitchens奇異廚房,[],0
1106,優派,viewsonic,viewsonic優派,[],0
1107,康沛特,content pets,content pets康沛特,[],0
1108,惡靈戰警,s-etas,s-etas惡靈戰警,[],0
1109,歐肌膚,o'keeffe's,o'keeffe's歐肌膚,[],1
1110,@手護適,hands@work,hands@work@手護適,[],0
1111,喵~噢,meow,meow喵~噢,[],0
1112,純淨之心,pure heart,pure heart純淨之心,[],0
1113,曜越,luna,luna曜越,[],1
1114,大森,una,una大森,[],0
1115,梅亞奶奶,grandma mae's,grandma mae's梅亞奶奶,[],0
1116,李寧,li-ning,li-ning李寧,[],0
1117,雷斯特,lexking,lexking雷斯特,[],0
1118,愛多康,atopalm,atopalm愛多康,[],0
1119,唯美味,weruva,weruva唯美味,[],0
1120,蓓蓓珂娜,benecos,benecos蓓蓓珂娜,[],0
1121,幼獅,youth,youth幼獅,[],0
1122,酷涼,esense,esense酷涼,[],0
1123,樹予,saeve,saeve樹予,[],0
1124,普樂,polar,polar普樂,[],0
1125,詩芙儂,sofnon,sofnon詩芙儂,[],0
1126,唯娜露,vernal,vernal唯娜露,[],0
1127,愛戀膜法,love more,love more愛戀膜法,[],0
1128,朵蔓朵蓮,dormindorcin,dormindorcin朵蔓朵蓮,"[('朵蔓朵蓮', 100)]",0
1129,沐時光,moussenature,moussenature沐時光,[],0
1130,星記,starmark,starmark星記,[],0
1131,柏詩克萊,personal care,personal care柏詩克萊,[],0
1132,波瑞歐,boreal,boreal波瑞歐,[],0
1133,麥蘆卡,wedderspoon,wedderspoon麥蘆卡,[],0
1134,歐奇斯,organix,organix歐奇斯,[],0
1135,歐王,ouwang,ouwang歐王,[],0
1136,喬山,johnson,johnson喬山,[],0
1137,超越巔峰,absolute holistic,absolute holistic超越巔峰,[],0
1138,瑞威,real nature,real nature瑞威,[],1
1139,和光堂,wakodo,wakodo和光堂,[],0
1140,安伯特,anbort,anbort安伯特,[],0
1141,薰衣草森林,lavender cottage,lavender cottage薰衣草森林,"[('薰衣草森林', 100)]",0
1142,御膳房,ushine farm,ushine farm御膳房,[],0
1143,就是家,j home,j home就是家,[],0
1144,愛芙蓉,everose,everose愛芙蓉,[],0
1145,愛購它,i gota,i gota愛購它,[],0
1146,馥蕾詩,fresh,fresh馥蕾詩,[],0
1147,康尼菲,knf,knf康尼菲,[],0
1148,妲己佳人,darlin,darlin妲己佳人,[],0
1149,拉美拉,lameila,lameila拉美拉,[],1
1150,歐姬兒,ozio,ozio歐姬兒,[],0
1151,須眉,smate,smate須眉,[],0
1152,朵米諾,qteighteen,qteighteen朵米諾,[],0
1153,奧莉芙的橄欖,olivos,olivos奧莉芙的橄欖,[],0
1154,多比,dobi,dobi多比,[],0
1155,蘿丹緹,lothantique,lothantique蘿丹緹,[],0
1156,英格朗,ingram's,ingram's英格朗,[],0
1157,琍睫,lijay,lijay琍睫,[],0
1158,速利高,solid gold,solid gold速利高,[],0
1159,俏樂斯,churacos,churacos俏樂斯,[],0
1160,芙樂莉,fleurient,fleurient芙樂莉,[],0
1161,曼龍,mloong,mloong曼龍,[],0
